"video","phase","encounters_num","encounters_mean_length","encounters_median_length","encounters_min_length","encounters_max_length","encounters_var_length","encounters_sd_length","encounters_ci_mean_length","encounters_ci_lower_length","encounters_ci_upper_length","encounters_ci_stderror_length","dist_mean","dist_median","dist_min","dist_max","dist_var","dist_sd","dist_ci_mean","dist_ci_lower","dist_ci_upper","dist_ci_stderror","shortest_dist_mean","shortest_dist_median","shortest_dist_min","shortest_dist_max","shortest_dist_var","shortest_dist_sd","shortest_dist_ci_mean","shortest_dist_ci_lower","shortest_dist_ci_upper","shortest_dist_ci_stderror","longest_dist_mean","longest_dist_median","longest_dist_min","longest_dist_max","longest_dist_var","longest_dist_sd","longest_dist_ci_mean","longest_dist_ci_lower","longest_dist_ci_upper","longest_dist_ci_stderror","frames_moving_mean","frames_moving_median","frames_moving_min","frames_moving_max","frames_moving_var","frames_moving_sd","frames_moving_ci_mean","frames_moving_ci_lower","frames_moving_ci_upper","frames_moving_ci_stderror"
"TC_Grp_3_f_19",1,11,25.0909090909091,17,14,77,354.890909090909,18.838548486837,25.0909090909091,12.4350000111091,37.7468181707091,5.68003608415962,278.505603858105,270.120323661735,20,715.279665585427,34834.1617314476,186.639121653118,278.505603858105,273.324849894688,283.686357821521,2.64264885473194,20.0623058987491,20.0623058987491,20,20.1246117974981,0.00776405003785477,0.0881138470267572,20.0623058987491,19.2706343929722,20.8539774045259,0.0623058987490541,712.821828394968,712.821828394968,710.363991204509,715.279665585427,12.0819273096049,3.47590668885182,712.821828394968,681.592045844814,744.051610945122,2.4578371904588,101.333333333333,114,34,156,3841.33333333333,61.9784908926745,101.333333333333,-52.6297732105337,255.2964398772,35.7832984008524
"TC_Grp_3_f_19",2,4,38,32,11,77,776.666666666667,27.8687399547713,38,-6.34538425098719,82.3453842509872,13.9343699773857,118.234933496693,94.0850678907126,20.591260281974,216.953912156476,4874.09858591563,69.8147447600837,118.234933496693,116.368802073976,120.10106491941,0.951911081160062,21.795630140987,21.795630140987,20.591260281974,23,2.90101351459798,1.70323618872956,21.795630140987,6.49266013428998,37.098600147684,1.204369859013,212.790186303363,212.790186303363,208.626460450251,216.953912156476,34.6732259597595,5.88839757147558,212.790186303363,159.885033148409,265.695339458318,4.16372585311278,6,4,4,10,12,3.46410161513775,6,-2.60530545949892,14.6053054594989,2
"TC_Grp_3_f_19",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.49655156437,196.420467365293,42.0119030752,216.953912156476,5874.72645931392,76.6467641803222,152.49655156437,150.448373234368,154.544729894372,1.0447730901877,128.36749027471,128.36749027471,42.0119030752,214.72307747422,14914.5748811444,122.12524260424,128.36749027471,-968.884280794852,1225.61926134427,86.3555871995101,207.49715603764,207.49715603764,198.040399918804,216.953912156476,178.86047258228,13.3738727593125,207.49715603764,87.3376766516388,327.656635423642,9.45675611883588,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.737424467705,197.101496696499,42,216.603324074216,6080.60845820647,77.9782563167866,151.737424467705,149.653665596637,153.821183338773,1.06292267769939,129.046286377645,129.046286377645,42,216.092572755289,15154.1119442778,123.102038749477,129.046286377645,-976.981649860402,1235.07422261569,87.0462863776446,207.32186199651,207.32186199651,198.040399918804,216.603324074216,172.291076599788,13.1259695489433,207.32186199651,89.3897045861371,325.254019406884,9.28146207770597,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.642666928819,197.101496696499,36.2215405525497,216.603324074216,6114.67533048703,78.1963894977705,151.642666928819,149.552496147757,153.732837709881,1.06619325080161,126.157056653919,126.157056653919,36.2215405525497,216.092572755289,16176.7941128395,127.188026609581,126.157056653919,-1016.58202398362,1268.89613729146,89.9355161013698,207.32186199651,207.32186199651,198.040399918804,216.603324074216,172.291076599788,13.1259695489433,207.32186199651,89.3897045861371,325.254019406884,9.28146207770597,0.333333333333333,0,0,1,0.333333333333333,0.577350269189626,0.333333333333333,-1.10088424324982,1.76755090991649,0.333333333333333
"TC_Grp_3_f_19",6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.575247711894,216.092572755289,32.3882694814033,284.397608991356,10269.1765337043,101.336945551483,175.575247711894,172.86729078603,178.283204637757,1.38132528993551,122.064338292031,122.064338292031,32.3882694814033,211.74040710266,16083.594634657,126.821112732293,122.064338292031,-1017.3781519511,1261.50682853516,89.6760688106281,271.591617279078,271.591617279078,258.7856255668,284.397608991356,327.986847469857,18.1104071591408,271.591617279078,108.876064733119,434.307169825036,12.8059917122778,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.668061153979,253.50345165303,38.2099463490856,285.660637820474,11755.6960395069,108.42368763101,191.668061153979,188.656004193249,194.680118114709,1.53641841112292,157.513787922737,157.513787922737,38.2099463490856,276.817629496389,28466.8132284619,168.721110796669,157.513787922737,-1358.38524892423,1673.4128247697,119.303841573652,272.770689850142,272.770689850142,259.880741879809,285.660637820474,332.301517355751,18.2291392379276,272.770689850142,108.988371900459,436.553007799824,12.8899479703324,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.821549811802,266.60270066149,37.2155881318568,294.496179941269,13070.8346514954,114.327751012147,199.821549811802,196.768150897375,202.874948726229,1.55753518727328,160.805719507898,160.805719507898,37.2155881318568,284.39585088394,30549.0411470943,174.78283996747,160.805719507898,-1409.55579312681,1731.16723214261,123.590131376041,281.249022803208,281.249022803208,268.001865665148,294.496179941269,350.974344480923,18.7343092875324,281.249022803208,112.927932034736,449.57011357168,13.2471571380603,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.741196377532,264.401210284673,39.4588393138977,294.496179941269,12841.2696442631,113.319325996333,199.741196377532,196.713042607987,202.769350147078,1.54465728156028,166.977509627583,166.977509627583,39.4588393138977,294.496179941269,32522.0225571408,180.338633013397,166.977509627583,-1453.30082306287,1787.25584231803,127.518670313685,280.251849316,280.251849316,266.007518690732,294.496179941269,405.801909923918,20.144525557181,280.251849316,99.2604680615767,461.243230570424,14.2443306252684,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",10,1,62,62,62,62,NA,NA,62,NA,NA,NA,187.969076058321,223.450218169506,20.0997512422418,316.564369441667,8793.74753101116,93.7749835031239,187.969076058321,185.451701195106,190.486450921536,1.28410697382835,143.75290475659,143.75290475659,20.0997512422418,267.406058270937,30580.2047480858,174.871966730193,143.75290475659,-1427.40938007035,1714.91518958353,123.653153514348,309.929802572219,309.929802572219,303.295235702772,316.564369441667,88.0349550903369,9.38269444724366,309.929802572219,225.62963759318,394.229967551259,6.63456686944735,1.33333333333333,2,0,2,1.33333333333333,1.15470053837925,1.33333333333333,-1.53510181983297,4.20176848649964,0.666666666666667
"TC_Grp_3_f_19",11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.458593275273,184.664560758149,67.446274915669,272.800293254974,5956.29728169814,77.1770515224451,176.458593275273,174.396244444344,178.520942106201,1.05200144419636,158.897016522119,158.897016522119,67.446274915669,250.347758128568,16726.4762807392,129.330879068918,158.897016522119,-1003.09482960444,1320.88886264868,91.4507416064495,241.420382772718,241.420382772718,210.040472290461,272.800293254974,1969.39756374887,44.3778949900609,241.420382772718,-157.299184417669,640.139949963104,31.3799104822566,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.945837376231,137.29530217746,76.8960337078578,255.97265478953,2259.03216623742,47.5292769378771,134.945837376231,133.675745466861,136.215929285601,0.647872223593739,95.8261485767377,95.8261485767377,76.8960337078578,114.756263445618,716.698497897978,26.7712251848506,95.8261485767377,-144.703766626555,336.356063780031,18.9301148688799,221.925137265872,221.925137265872,187.877619742214,255.97265478953,2318.4668990476,48.1504610470928,221.925137265872,-210.689591148222,654.539865679967,34.047517523658,10.6666666666667,0,0,32,341.333333333333,18.475208614068,10.6666666666667,-35.2282957839943,56.5616291173276,10.6666666666667
"TC_Grp_3_f_19",13,2,11,11,11,11,0,0,11,11,11,0,174.540931830307,97.7394495585073,20.3960780543711,598.017558270658,19516.1294279983,139.700141116601,174.540931830307,170.770847792171,178.311015868443,1.92310633155797,32.6591164724018,32.6591164724018,20.3960780543711,44.9221548904324,300.76422248419,17.3425552466812,32.6591164724018,-123.157560354671,188.475793299475,12.2630384180306,593.123127646244,593.123127646244,588.22869702183,598.017558270658,47.910902274403,6.92177016914047,593.123127646244,530.933490065437,655.312765227052,4.89443062441399,194.666666666667,256,2,326,29065.3333333333,170.48558101298,194.666666666667,-228.842994437343,618.176327770676,98.4298960907937
"TC_Grp_3_f_19",14,11,48,22,13,176,2725.8,52.2091945925236,48,12.9253858197062,83.0746141802938,15.7416644609139,125.543445303961,87.091905479212,20,569.723617203991,13986.8173962988,118.26587587423,125.543445303961,122.366529626519,128.720360981402,1.62053670221025,21.0679718105893,21.0679718105893,20,22.1359436211787,2.28112757642689,1.51034021876758,21.0679718105893,7.49810333277816,34.6378402884005,1.06797181058933,561.716012109907,561.716012109907,553.708407015823,569.723617203991,128.243478685609,11.3244637261819,561.716012109907,459.969742338037,663.462281881777,8.00760509408428,184.333333333333,142,97,314,13116.3333333333,114.526561693492,184.333333333333,-100.166417566572,468.833084233239,66.1219412231002
"TC_Grp_3_f_19",15,20,39.8,30,10,170,1272.16842105263,35.6674700680134,39.8,23.1071101676185,56.4928898323815,7.9754887657517,96.931085593757,49.1833263068488,20.0249843945008,380.916001239118,7388.45398307971,85.9561166123721,96.931085593757,94.6212224895279,99.2409486979861,1.17825516249105,20.5600037521149,20.5600037521149,20.0249843945008,21.095023109729,0.572491426043609,0.756631631670002,20.5600037521149,13.7619382564535,27.3580692477763,0.5350193576141,371.513931204558,371.513931204558,362.111861169998,380.916001239118,176.797841869546,13.2965349572566,371.513931204558,252.049304401585,490.978558007532,9.4020700345601,289.333333333333,368,48,452,45445.3333333333,213.179110921622,289.333333333333,-240.232935464475,818.899602131142,123.079017076204
"TC_Grp_3_f_19",16,14,33.7142857142857,34.5,10,63,380.065934065934,19.495279789373,33.7142857142857,22.4580462855209,44.9705251430505,5.21033268793801,145.393096197263,100.498756211209,20,663.162875921142,17559.7902464912,132.513358747302,145.393096197263,141.558950227315,149.227242167211,1.95571702119119,20,20,20,20,0,0,20,20,20,0,660.718567437025,660.718567437025,658.274258952908,663.162875921142,11.9492879310534,3.45677420886199,660.718567437025,629.660683399465,691.776451474585,2.44430848411707,421.666666666667,362,343,560,14442.3333333333,120.176259441428,421.666666666667,123.132288531125,720.201044802209,69.3837957387106
"TC_Grp_3_f_19",17,20,18.55,15,10,49,120.997368421053,10.9998803821247,18.55,13.4018975122698,23.6981024877302,2.45964802787973,180.06975332719,147.427934421229,20,759.905915228984,21592.436816502,146.943651841452,180.06975332719,176.056347718947,184.083158935432,2.04721239118749,20,20,20,20,0,0,20,20,20,0,747.368934403744,747.368934403744,734.831953578504,759.905915228984,314.351776424885,17.7299683142662,747.368934403744,588.071489264745,906.666379542743,12.5369808252403,773.666666666667,819,652,850,11342.3333333333,106.500391235588,773.666666666667,509.105028482178,1038.22830485116,61.4880295486673
"TC_Grp_3_f_19",18,13,20,15,11,42,113,10.6301458127346,20,13.5762671756654,26.4237328243346,2.94827198411335,247.068431573555,196.644349016187,20,719.469943778057,35064.8057494885,187.255989889479,247.068431573555,241.621797631055,252.515065516055,2.77820539458538,20.0124921972504,20.0124921972504,20,20.0249843945008,0.00031210998428549,0.0176666347753467,20.0124921972504,19.8537637813822,20.1712206131186,0.0124921972503937,718.070359480039,718.070359480039,716.670775182022,719.469943778057,3.91767241451389,1.97931109594068,718.070359480039,700.286954843894,735.853764116184,1.39958429801743,788,797,711,856,5317,72.9177618965366,788,606.862237816382,969.137762183618,42.0990894596704
"TC_Grp_3_f_19",19,11,19,13,10,34,92.6,9.62288937897553,19,12.5352549507525,25.4647450492475,2.90141031537799,228.184805199854,174.888535930746,20,769.327628517266,29874.9384196444,172.84368203566,228.184805199854,223.316663180991,233.052947218717,2.48317094874898,20.0124921972504,20.0124921972504,20,20.0249843945008,0.00031210998428549,0.0176666347753467,20.0124921972504,19.8537637813822,20.1712206131186,0.0124921972503937,754.820875517769,754.820875517769,740.314122518273,769.327628517266,420.891765176804,20.5156468378846,754.820875517769,570.49510184905,939.146649186489,14.5067529994965,947.666666666667,914,857,1072,12406.3333333333,111.383721132549,947.666666666667,670.974164526221,1224.35916880711,64.3074213792191
"TC_Grp_3_f_19",20,10,25.6,17,10,83,471.822222222222,21.7214691543234,25.6,10.061397032626,41.138602967374,6.86893166527534,224.790935968358,197.306867594618,20,586.678787753571,18964.0465296712,137.710008821694,224.790935968358,221.035917685163,228.545954251554,1.91541215918085,20,20,20,20,0,0,20,20,20,0,511.788472611396,511.788472611396,436.898157469221,586.678787753571,11217.1186041887,105.910899364459,511.788472611396,-439.783204341727,1463.36014956452,74.8903151421753,360.333333333333,355,341,385,505.333333333333,22.4796204001165,360.333333333333,304.490860551572,416.175806115095,12.9786148892879
"TC_Grp_3_f_19",21,2,93,93,71,115,968,31.1126983722081,93,-186.536504195843,372.536504195843,22,132.511588815535,90.2496537389479,20.2484567313166,425.328108640847,13230.6622306588,115.024615759666,132.511588815535,128.996986612494,136.026191018576,1.79267002877732,20.6361263864726,20.6361263864726,20.2484567313166,21.0237960416286,0.300575523057584,0.548247684042153,20.6361263864726,15.7103163780579,25.5619363948873,0.387669655156026,394.887131892942,394.887131892942,364.446155145036,425.328108640847,1853.30613073301,43.0500421687715,394.887131892942,8.09784896492516,781.676414820958,30.4409767479052,5.33333333333333,5,2,9,12.3333333333333,3.51188458428425,5.33333333333333,-3.39067160180179,14.0573382684685,2.02758751009941
"TC_Grp_3_f_19",22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.1642415570524,85.3277776766632,78.1856764375675,92.4175308044962,36.4598875573091,6.03820234484645,85.1642415570524,84.9666560818561,85.3618270322487,0.10077677081974,84.2148949094977,84.2148949094977,78.1856764375675,90.2441133814278,72.7029507645276,8.52660253351402,84.2148949094977,7.60641060602677,160.823379212969,6.02921847193016,86.4144863881973,86.4144863881973,80.4114419718985,92.4175308044962,72.0730845281134,8.4895868290579,86.4144863881973,10.1385749943539,162.690397782041,6.00304441629884,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.2036573767594,84.8618352507411,78.1856764375675,94.6414285606467,51.9651395159903,7.20868500601811,86.2036573767594,85.9676390934006,86.4396756601181,0.120379048484344,84.2148949094977,84.2148949094977,78.1856764375675,90.2441133814278,72.7029507645276,8.52660253351402,84.2148949094977,7.60641060602677,160.823379212969,6.02921847193016,87.0604928403506,87.0604928403506,79.4795571200545,94.6414285606467,114.941172790524,10.7210621111214,87.0604928403506,-9.26442851351209,183.385414194213,7.58093572029614,0.333333333333333,0,0,1,0.333333333333333,0.577350269189626,0.333333333333333,-1.10088424324982,1.76755090991649,0.333333333333333
