"phase","phase_type","NT_CS_1","NT_CS_10","NT_CS_11","NT_CS_12","NT_CS_13","NT_CS_14","NT_CS_15","NT_CS_16","NT_CS_17","NT_CS_18","NT_CS_19","NT_CS_2","NT_CS_20","NT_CS_3","NT_CS_4","NT_CS_5","NT_CS_6","NT_CS_7","NT_CS_8","NT_CS_9","NT_OR_1","NT_OR_10","NT_OR_11","NT_OR_12","NT_OR_13","NT_OR_14","NT_OR_15","NT_OR_16","NT_OR_17","NT_OR_18","NT_OR_19","NT_OR_2","NT_OR_20","NT_OR_3","NT_OR_4","NT_OR_5","NT_OR_6","NT_OR_7","NT_OR_8","NT_OR_9","OT_CS_1","OT_CS_10","OT_CS_11","OT_CS_12","OT_CS_13","OT_CS_14","OT_CS_15","OT_CS_16","OT_CS_17","OT_CS_18","OT_CS_19","OT_CS_2","OT_CS_20","OT_CS_3","OT_CS_4","OT_CS_5","OT_CS_6","OT_CS_7","OT_CS_8","OT_CS_9","OT_OR_1","OT_OR_10","OT_OR_11","OT_OR_12","OT_OR_13","OT_OR_14","OT_OR_15","OT_OR_16","OT_OR_17","OT_OR_18","OT_OR_19","OT_OR_2","OT_OR_20","OT_OR_3","OT_OR_4","OT_OR_5","OT_OR_6","OT_OR_7","OT_OR_8","OT_OR_9","TT_CS_1","TT_CS_10","TT_CS_11","TT_CS_12","TT_CS_13","TT_CS_14","TT_CS_15","TT_CS_16","TT_CS_17","TT_CS_18","TT_CS_19","TT_CS_2","TT_CS_20","TT_CS_3","TT_CS_4","TT_CS_5","TT_CS_6","TT_CS_7","TT_CS_8","TT_CS_9","TT_OR_1","TT_OR_10","TT_OR_11","TT_OR_12","TT_OR_13","TT_OR_14","TT_OR_15","TT_OR_16","TT_OR_17","TT_OR_18","TT_OR_19","TT_OR_2","TT_OR_20","TT_OR_3","TT_OR_4","TT_OR_5","TT_OR_6","TT_OR_7","TT_OR_8","TT_OR_9"
28,"trial",5.73,2.33,7.37,10.23,5.87,2.43,NA,5.03,5.7,NA,4.7,10.73,11.1,NA,1.73,3.77,6.6,2.87,NA,6.63,7.83,7.33,7.73,1.63,3.87,4.9,3.9,5.83,5.7,3.27,4.6,4.07,2.4,NA,8.13,2,3.4,2.83,7.1,3.53,5.8,3.77,2.3,2.27,NA,4.27,7.03,3.07,2.1,7.33,4.43,4.23,NA,NA,0.73,3.3,9.73,7.5,4.57,6.97,3.43,0.1,1.9,3.63,5.27,5.03,1.1,1.3,NA,9.5,5.13,3.73,3.63,3.8,3.8,3.23,4.23,4.53,NA,NA,8.3,NA,3.17,6.87,7.47,NA,3.13,NA,10.13,3.87,NA,NA,7.73,2.3,4.43,6.37,6.9,4.47,5.23,5.67,2.53,8.93,NA,1.3,1.3,6.53,2.2,0.37,NA,NA,1.6,1.97,NA,3.67,2.83,4.77,0.73,0.83,NA,2.17
30,"trial",2.43,1.4,6.37,3.9,6.83,0.8,6.73,4.93,1.17,5.73,3.1,3.83,4.53,4.47,1.77,7.73,7.6,2.07,NA,3.4,2.67,1.83,2.33,1.87,6.47,4.7,5.17,1.6,1.17,3.57,NA,2.73,5.13,NA,6.5,5.77,1.33,1.67,2.23,6.07,10.5,4.73,4.73,6.83,8.43,3.17,6.67,4.07,NA,8,9.47,3.37,6.47,NA,NA,7.57,4.2,3.37,4.13,6.9,7.2,6.1,3.4,5.8,1.07,3.23,2.37,1.3,1.93,5.53,0.67,3.5,2.7,0.13,0.13,3.07,4.97,2.17,2.47,3.63,7.3,1.6,4.4,5.3,5.2,1.93,6.93,5.2,6.4,5.6,NA,3,5,6.1,3,2.7,6.8,NA,3.1,2.37,6.77,10.73,NA,5.23,5.23,9.3,0.43,2.67,0.87,0.87,2,3.03,0.97,3.13,4.43,3.97,NA,4.87,6.13,NA
32,"trial",3.93,3.93,4.5,8.67,4.53,4.8,7.67,2.37,5.63,5.4,5.43,1.6,6.07,4.5,5.87,6.77,9.43,3.37,NA,2.07,2.97,4.53,1.67,3.37,1.6,3.5,1.8,0.73,5.63,1.33,3.7,1.67,4.9,NA,3.33,2.17,3.8,4.07,4.67,4.1,8.5,9.17,1.87,6.73,8.33,4.47,3.5,2.3,8.4,5.97,6.67,4.23,2.47,NA,4.63,3.3,5.1,6.37,7.4,5.8,2.13,2.8,5.6,6.67,5.13,4.87,2.63,3.8,4.37,8.67,2.33,5.8,5.1,2.4,2.4,2.47,NA,5.57,NA,3.17,10.4,6.03,NA,4.8,7.2,2.93,3.83,5.93,NA,4.1,3.8,4.83,2.37,11.67,3.33,3.57,4.07,0.93,4.3,4.3,NA,10.7,NA,18.7,18.7,5.03,5.27,4.27,0.27,0.27,3.1,5.33,2.27,4.23,NA,3.83,2.83,1.37,7.23,5.33
34,"trial",5.27,2.8,3.03,13.6,4.43,3.7,NA,5.27,3.37,6,6.57,2.67,10.43,7.03,2.5,4.17,8.53,1.1,6.7,1.73,1.17,4.93,1.87,8.9,4.17,1.47,2.5,4,3.37,2.37,4.17,2.93,2.27,NA,4.17,1.77,8.3,3.5,4.13,4.2,1.6,7.77,4.07,5.47,1.77,3.2,10,5.77,10.13,7.63,7.73,4.83,1.4,NA,6.17,NA,12.5,6.97,5.27,3.63,9,1.83,2.17,3.03,3.6,2.03,2.87,4.1,3.97,3.93,3.5,3.87,6,2.27,2.27,3.93,2.2,2.73,5.7,NA,5.37,6.93,9.5,3.87,6,1.3,2.53,NA,7.43,5.07,5.83,2.97,11.03,3.13,3.8,5.8,11.17,3.8,4.03,3.83,8.43,NA,NA,1.77,1.77,NA,2.63,3.83,0.67,0.67,1.17,1.53,1.87,6.13,10.27,2.17,0.9,2.23,4.03,5.4
36,"trial",2.9,2.93,2.77,3.83,7.83,5.2,10.27,3.83,2.3,3.17,4.3,7.43,4.23,11.47,NA,3.33,4.63,2.57,NA,NA,4.03,3.4,8.73,7.7,6.67,NA,3.53,2.3,2.3,1.23,NA,4.03,2.43,NA,7.6,4.73,6.23,1.37,2.17,8.33,3.43,6.87,7.8,3.87,NA,NA,8.13,NA,3.6,7.57,8.67,5.5,1.97,NA,2.07,2.8,6.13,3.93,6.5,4.2,6.07,2.93,10.67,5.23,5.57,0.67,2.93,0.73,0.93,7.87,1.47,9.47,2.23,2,2,2.43,5.87,8.87,NA,NA,10.27,7.6,3.23,3.47,NA,2.5,4.77,4.87,4.73,6.67,9.03,7.8,10.5,2.87,10.17,NA,6.93,3.33,NA,5.5,8.1,3.47,NA,2.67,2.67,NA,4.57,5,NA,NA,4.63,3.03,5.53,5.33,2.6,2.73,2.67,1.07,2.13,0.87
38,"trial",3.13,6.43,2.87,4.47,4.8,4.3,1.63,2.97,2.53,4.57,5.43,NA,8.17,5.27,6.07,5.87,5.13,6.43,1.93,2.47,0.87,4.7,4.2,5.83,5.4,2.1,3.03,5.4,2.53,1.43,4.5,2.4,8.23,NA,6.83,4.17,3.3,5.03,NA,5.33,4.7,2.83,7.1,8.17,2.4,4.1,7.73,NA,5.3,NA,6.2,0.63,6.67,NA,4.73,4.17,6.23,3.63,2.7,1.6,6.03,NA,3.9,6.7,2.3,5.23,5.43,NA,4.47,3.27,2.6,5.77,2.63,1.5,1.5,NA,4.53,4.07,1.4,5.53,4.6,7.6,4.33,NA,6.9,0.63,3.23,9.23,3.3,5.43,9.8,3.37,8.5,17.13,1.8,6.17,4.5,7.13,NA,NA,2.33,4.1,NA,2.67,2.67,2,6.03,6.83,2.37,2.37,4.53,2.77,1,6.47,3.93,3.33,0.97,6.5,NA,1.7
40,"trial",1.33,4.43,4.6,5.07,11.93,3.73,8.23,3.1,4.53,5.63,2.37,2.3,6.03,9.13,NA,NA,9.5,8.5,6.9,5.63,5.37,3.97,8,6.2,7.73,NA,6.37,0.57,4.53,5.37,3.23,1.5,2.1,NA,7.07,1.87,5.7,5.8,3.8,39.33,4.83,6.7,3.43,4.13,1.03,4.4,4,NA,8.23,1.57,8.43,1,5.03,NA,7.43,3.87,NA,7.9,5.17,0.87,3.97,4.13,3.77,4.57,3.67,3.63,5.67,4.4,5,7.63,NA,7.23,NA,NA,NA,1.67,5,1.9,1.4,3.37,4.97,4.47,2.97,5.03,6.77,2.03,6,8.47,7.03,3.6,6.83,5.43,2.43,NA,4.07,4.6,6.33,8.67,2.47,4.53,7.73,1.5,NA,5.47,5.47,1.5,3.2,NA,1.9,1.9,NA,3.77,NA,4.03,9.37,6.2,0.87,3.53,1.5,4.4
42,"trial",6.83,3.03,3.7,4.33,6.23,NA,2.47,4.5,NA,5,4.07,NA,8.33,0.9,3.33,4.43,1.9,4.93,3.4,2.93,5.07,5.3,6.33,2.87,4.3,3,7.63,2.17,NA,4.97,NA,4.2,1.93,NA,3.9,2.6,1.97,2.63,6.6,1.93,3.4,8.57,7.7,3.6,6.83,5.93,5.73,NA,3.47,12.3,7.9,5.5,2.73,NA,4.07,4.33,6.83,4.9,8.2,3.53,9.03,6.17,9.7,3.27,3.73,1.83,2.23,0.47,8.07,5.53,3.33,4.17,2.27,2.77,2.77,2.83,2,NA,NA,1.77,5.87,4.03,4.03,NA,3.77,3.83,3.77,8.5,3.87,7,6.03,3.3,6.93,2.07,6.43,1.87,5.4,7,1.73,5.8,5.93,7.93,NA,1.9,1.9,NA,2.43,5.87,1.2,1.2,3.43,2.4,NA,2.87,7.43,4.3,NA,3.3,NA,0.93
44,"trial",6.27,1.83,3.43,NA,5.33,NA,2.73,3.13,3.93,4.73,3.03,7.13,6,3.07,0.5,6.67,4.43,4.07,4.57,8.07,4.6,2.07,6.37,5.8,10.33,NA,5.17,2.77,3.93,15.53,2.03,8.37,3.93,NA,3.07,3.5,3.7,5.4,NA,3.8,3.1,7.53,6.3,4.07,11.1,5.2,7.57,NA,NA,11.4,7.47,4.33,NA,NA,5.2,5.83,7.2,2.53,4.9,2.57,6.8,3.2,5.5,5.2,2.87,2.5,4,4.1,1.97,4.7,1.57,3.27,5,3.2,3.2,5.27,4.37,2.77,0.63,0.53,NA,4.4,3.6,4.17,5.13,4.5,6.2,8.73,5.83,7.43,6.07,4.87,4.2,NA,6.37,5.83,3.5,8.43,NA,3.5,9.27,5,NA,2.33,2.33,NA,2,NA,NA,NA,3.17,5.57,0.93,3.87,4,9.83,10.13,1.8,5.57,6.7
46,"trial",5.27,5.53,5.17,10.1,9.07,3.8,1.8,5.33,3.17,4.3,7.23,11.37,NA,9.13,2.07,4.8,9.17,5.13,6.8,4.93,5.33,3.7,4.67,2.37,2.17,5.43,NA,NA,3.17,2.77,3.13,5.9,4.37,NA,4.13,4.9,7.53,3.83,2.37,4.27,2.23,7.1,8.8,3.43,5.23,7.3,NA,2.73,NA,1.03,7.37,5.63,4.07,NA,NA,3.73,5.9,3.1,4.4,11.87,5.13,3.77,1.87,7.47,3.5,4.17,4.9,5.3,NA,7.1,3.57,2.73,5.27,1,1,6.77,5.97,1.93,4.3,5.17,3.97,5.03,NA,6.17,3.9,2.5,5.47,8.7,5.9,5.3,6.67,4.37,6.87,6.63,5.53,7.77,8.87,5.27,0.6,1.67,3.57,5.17,NA,2.83,2.83,NA,5.03,1.93,2.03,2.03,2.93,3.6,3.17,3.9,8.23,NA,5.53,1.5,1.23,NA
48,"trial",8.03,NA,1.73,6.97,11.9,NA,2.1,7.97,2.93,6.13,2.93,2.87,4.8,6.3,NA,1.43,4.3,5.27,NA,7,5.43,4,5.87,6.63,7.73,NA,NA,2.13,2.93,2.47,3.7,2.1,3.87,NA,9.33,7.4,5.37,5.53,6.63,9.63,2.47,6.17,4.8,4.17,3.87,5.97,10.13,5.77,NA,1.87,9,3.37,5.77,NA,3.97,3.5,6.3,4.83,6.13,3.93,6.03,6.57,6.33,2.17,3.87,5.53,5.7,4.63,3.1,6.77,1.13,NA,3.93,4.5,4.5,2.07,6.07,4.17,7.5,2.47,10.7,2.07,5.9,4.67,5.5,2.4,5.77,8.27,4.27,4.6,7.07,3.53,3.3,4,2.7,6.9,7.13,10.43,2.43,2.17,3.77,10.27,NA,5.03,5.03,13.17,6.77,2.27,1.47,1.47,3.9,4.33,3.4,7.97,7.13,5.57,1.3,4.07,NA,3.67
50,"trial",9.2,4.47,2.57,2.47,9.3,NA,3.1,4.03,5,4.63,2.7,2.7,9.1,12.87,NA,4.43,8.77,5.27,1.87,3.17,2.07,6.2,6.13,2.8,9.87,3.03,2.1,1.5,5,5.2,3.53,0.8,2.87,NA,3.7,5.87,1.3,9.93,2.97,5.97,10.87,7.97,2.93,5.37,5.47,4.27,6.33,2.23,NA,7.73,7.37,4.87,3.83,NA,3.7,5.93,5.67,7.1,6.13,6.47,4.07,2.13,3.97,6.23,4.5,8.7,3.07,0.5,2.27,6.13,1.6,4.6,5.53,NA,NA,NA,2.8,2.03,NA,5.07,5.47,NA,1.2,NA,7.07,7.77,7,5.4,5.23,7.67,8.67,1.63,2.77,5.87,4.23,9.8,5.23,4.6,4.27,NA,NA,6.43,NA,3,3,2.1,6.37,NA,5.7,5.7,5,3.73,4.2,6.23,1.57,NA,NA,4.53,6.77,2.47
52,"trial",6.27,0.9,3.47,NA,6.37,NA,NA,4.27,7.6,6.43,3.33,1.47,NA,10.5,2.97,7.17,5.03,2.6,3.67,8.57,1.87,5.3,7.67,4.63,5.63,NA,1.7,3.13,7.6,4.57,2.13,2.8,3.7,NA,2.77,2.83,5.23,3.17,2.27,3.7,3.1,4.3,3.3,5.97,11.57,6.27,6.37,NA,NA,5.13,9.03,3.37,3.33,NA,5.8,2.83,6.2,7.23,3.9,1.4,4.8,1.57,5.73,3.03,3.03,1.53,6,3.77,8,4.3,6.7,3.67,2.5,NA,NA,5.73,5.8,1.73,3.87,1.47,3.53,6.4,3.47,3.63,6.37,6.7,5.13,7.77,4.73,5.87,6.5,7.47,4.57,5.23,5.87,4.57,7.7,7.4,4.4,4.97,7.13,4.2,NA,3.47,3.47,6.83,1.57,5,2.4,2.4,4.03,3.97,1.17,NA,2.53,11,4.23,2.93,3.53,NA
54,"trial",3.4,3.9,4,4.77,6.57,4.3,6.23,4.03,5.73,7.77,3.2,3.9,12.37,4.6,5.63,4.8,NA,10.83,2.27,2.47,1.7,4.27,7.67,5.13,6.37,2.43,2.4,10.3,5.73,1.9,3.47,2.53,7.2,NA,1.87,3.93,NA,3.07,4.83,6.93,5.33,2.87,8,1,4.93,4.2,5.57,3.67,NA,5.27,7.03,4.13,4.87,NA,8.23,0.6,5.93,7,6.67,7.03,3.53,6.73,7.17,4.77,3.7,5.47,1.97,2.57,4,5.13,2.27,2.27,1.73,4.13,4.13,6.03,3.9,8.57,NA,0.97,7.63,3.67,2.73,5.17,3.87,4.47,3.83,8.4,2.93,5.5,8,10.2,1.1,7.6,6.9,2.3,4.83,7.4,2.6,3.03,10,2.5,NA,5.23,5.23,NA,6.77,1.33,2.5,2.5,4.8,3.2,1.77,5.07,7.87,4.77,NA,5.43,NA,6.8
56,"trial",4.23,NA,2.63,3.7,5.83,1.43,2.77,4.17,2.7,6.73,6.2,15.5,3.9,7.03,7.5,5.07,2.53,2.1,2.6,5.47,6.67,6.77,4.27,3.63,5.1,NA,1.4,2.03,2.7,6.2,4.87,1.73,4.47,NA,6.33,4.07,1.47,2.33,5.07,6.8,6.6,5.07,2.47,7.57,NA,4.57,5.13,7.3,NA,7,7.7,5.73,7.7,NA,4.97,2.03,8.6,2.63,6,5.13,2.27,5.03,6.13,1.1,2.6,3.9,7.13,1.6,3,4.97,5.13,0.9,5.1,1.93,1.93,3.57,3.37,NA,NA,4.33,2.37,3.67,4.33,NA,3.97,4.77,6.2,9.13,5.93,6.53,5.97,5.53,1.9,5.87,3.17,3.73,7.83,8.53,4.17,6.37,NA,6.07,NA,3.77,3.77,NA,5.37,2.43,1.03,1.03,5,2.57,2.97,4.1,9.43,5.23,1.5,4.8,NA,NA
58,"trial",6.2,7.7,3.7,NA,7.17,3.57,NA,5.57,2.67,6.53,1.2,4.27,4.63,3.97,3.97,7.57,0.97,1.27,6.1,7.03,4.8,3.27,2,3.07,5.8,NA,5.27,5.67,2.67,1.3,4.73,2.63,4.17,NA,8.6,4.23,4.93,4.1,3.07,4.03,7.13,7.97,10.7,1.77,NA,5.47,6.53,5.53,NA,4.37,8.97,3.3,6.5,NA,3.57,NA,6.5,4.87,8.97,4.63,3.3,1.57,0.3,NA,5.03,2.87,3.7,2.17,8.8,5.83,2.23,7.03,4.5,0.27,0.27,5.47,7.2,2.43,5.87,1.8,6.5,7.87,3.53,NA,12.6,3.03,10.73,1.23,6.67,6.13,4.83,1.07,0.77,1,NA,3.97,5.73,5.33,3.03,3.27,6.63,3.4,NA,5.87,5.87,6.07,4.27,4.8,1.87,1.87,4.33,1.3,0.73,3.9,11.57,9.1,6.1,2.7,NA,2
60,"trial",5.7,10.9,3.53,10.47,4.47,7,2.87,6.63,4.43,1.43,7.2,6,8.5,8.67,4.73,5.9,NA,6.43,NA,6.1,2.37,6.5,4.77,6.43,9.9,NA,2.97,6.83,4.43,NA,9.6,5.53,2.97,NA,5.87,4.9,NA,7.8,1.4,4.43,5.1,5.07,8.07,5.53,6.1,4.23,5.9,NA,NA,0.37,8.73,7.07,4,NA,1.07,2.9,6.53,6.17,5.37,2.67,3.57,1.23,5,0.57,3.9,5.93,1.37,1.07,7.83,7.03,0.8,3.03,4.4,2.47,2.47,7.93,4.93,4.37,0.67,1,5.5,4.83,6.8,2.8,3.9,4.93,2.43,6.33,6.93,7.07,6.77,2.6,0.8,4.6,NA,3.7,6.27,5.27,2.97,4.03,NA,2,NA,6.57,6.57,5.9,3.73,6.53,1.2,1.2,3.5,2.13,8.4,4.03,7.17,10.63,2.13,1.5,1.4,4.2
