0,1.5,2.5564,0.033333,0,54.573,7.1,4.036,532.89,5867.6,0.61538,NaN,NaN,25.587,0,97.793,NaN,NaN,1.7
1.3,0.3,0.88718,7.037,613.35,46.389,2.5833,3.708,807.72,5338.5,0.53846,NaN,0,0,7.4111,89.088,5.6074,6.0333,1.5556
0,1.9,3.4897,NaN,NaN,NaN,3.0769,6.3729,451.18,3506.5,1,NaN,NaN,3.8282,6.9615,58.415,NaN,NaN,1.4545
1.5,0.3,1.4718,6.8704,616.84,49.496,1.2308,4.4026,1040.4,3816.7,0.46154,0.30769,0,0,4.9692,63.61,5.5815,3.6,1.4286
0,2,3.0179,NaN,NaN,NaN,2.3077,2.1426,355.86,2778.7,1,NaN,NaN,2.7,2.8128,46.3,NaN,NaN,1.6667
1.6,0.1,1.3641,5.9615,767.11,51.913,1.9231,1.1553,222.33,3680.9,0.76923,0,0,0,1.9179,61.414,4.3692,6.3889,1.8889
0,2,3.2769,NaN,NaN,NaN,3.7692,2.1208,362.17,3887.3,1,NaN,NaN,5.3744,3.1333,64.808,NaN,NaN,1.3
1.55,0.1,1.1846,6.3821,960.31,51.613,1.2308,2.1222,420.36,3376.9,0.38462,0.46154,0,0,1.8462,56.311,4.7692,2.4208,1.6667
0,2,2.959,NaN,NaN,NaN,3.7692,2.2616,422.16,4085.1,1,NaN,NaN,4.1821,3.7769,68.089,NaN,NaN,1.6
1.55,0.2,1.1128,3.8212,405.63,53.685,1.75,2.1742,510.51,3119.7,0.69231,0.15385,0,0,3.2722,52.017,3.0758,3.6667,1.5714
0,2,2.1256,NaN,NaN,NaN,4.0769,2.2742,333.47,3778.2,1,NaN,NaN,5.2641,3.759,62.984,NaN,NaN,1.5385
1.45,0.25,1.4487,5.0933,626.52,54.24,1.3333,1.5583,361.08,2435.3,0.53846,0.23077,0,0,1.5972,40.611,4.56,1.4444,1.75
0,1.9,3.0436,0.033333,0,53.933,2.3846,2.0133,321.8,2515.4,0.92308,NaN,NaN,2.0154,3.6333,41.94,NaN,NaN,1.2222
1.55,0.2,1.1949,4.3667,506.39,54.373,1.0833,1.4344,266.27,2221.3,0.53846,0.15385,0,0,1.4944,37.044,3.7033,1.8778,1.4
0,1.9,2.6077,0.033333,0,48.6,5.1538,2.7238,424.56,4445,0.92308,NaN,NaN,5.9103,7.2718,74.11,NaN,NaN,1.6364
1.25,0.3,0.88462,4.5033,631.22,53.377,1,1.4378,286.52,3225.6,0.61538,0.38462,0,0,1.8744,53.853,4.0633,1.7667,2
0,1.9,1.9846,0.033333,0,47.633,3.2308,4.4627,376.37,3160.2,0.92308,NaN,NaN,2.8128,5.859,52.704,NaN,NaN,1.7273
1.6,0.25,1.3436,4.7148,549.96,54.059,1.1538,1.5821,414.27,2814.6,0.53846,0.15385,0,0,1.7256,46.93,4.3815,1.0667,1.375
0,2,2.1769,NaN,NaN,NaN,4.0769,2.2925,359.93,4329.6,1,NaN,NaN,7.0179,4.2051,72.187,NaN,NaN,1.7273
1.35,0.35,0.84103,5.25,846.19,53.279,0.5,7.6417,1273.1,3112.2,0.23077,0.53846,0,0,4.6944,51.887,3.9583,1.8667,1.5
0,1.9,3.5889,0.033333,0,59.967,2.3333,1.8313,278.12,2303.9,0.92308,NaN,NaN,2.1,2.225,38.398,NaN,NaN,1.5
1.4,0.2,1.4795,5.51,669.97,54.22,0.92308,1.1878,239.32,2432.6,0.53846,0.30769,0,0,1.3615,40.558,4.69,2.4,1.8
0,2,2.8385,NaN,NaN,NaN,3.2308,1.8668,294.77,3054.6,1,NaN,NaN,3.4436,2.8641,50.916,NaN,NaN,1.0909
1.55,0.4,1.2718,5.2963,725.48,53.57,1,1.1844,262.35,2639.6,0.46154,0.38462,0,0,1.2821,44.017,4.6852,1.5222,1.4
0,2,2.359,NaN,NaN,NaN,3.7692,7.3015,385.49,3672.5,1,NaN,NaN,8.7897,5.7872,61.274,NaN,NaN,1.7273
1.65,0.3,0.94103,5.4767,774.38,52.97,0.92308,0.96019,168.27,2066.9,0.46154,0.30769,0,0,1.2615,34.477,4.8033,1.45,1.5
0,2,2.9128,NaN,NaN,NaN,5.1538,2.2435,332.43,4545.4,1,NaN,NaN,6.2103,4.6769,75.761,NaN,NaN,1.7
1.45,0.25,1,5.6433,924.43,54.037,0.75,1.1733,297.51,2693.9,0.23077,0.61538,0,0,0.8,44.935,4.4567,1.5143,1.6
0,2,2.9718,NaN,NaN,NaN,2.8462,3.2047,291.7,2483.9,1,NaN,NaN,4.6769,3.8436,41.395,NaN,NaN,1.5714
1.55,0.25,1.2897,3.7606,425.65,54.858,0.91667,1.5883,237.59,2081.2,0.69231,0.076923,0,0,1.1361,34.713,3.1727,2.7667,2.4
0,1.9,2.4846,0.033333,0,49.9,2.3846,3.3338,505.33,2977.9,0.92308,NaN,NaN,3.959,3.8872,49.637,NaN,NaN,1.5556
1.65,0.15,1.5923,5.5545,763.17,54.264,0.46154,0.98611,200.44,2229.9,0.38462,0.30769,0,0,0.35641,37.185,4.4576,1.8,1.25
0,2,2.6436,NaN,NaN,NaN,3,2.4296,374.84,2925.7,1,NaN,NaN,4.2231,2.7205,48.757,NaN,NaN,1.3636
1.4,0.2,1.4923,5.7848,850.07,53.5,0.38462,2.3407,518.01,2122.7,0.53846,0.15385,0,0,0.56923,35.398,4.6606,2.7917,1.3333
0,2,2.8436,NaN,NaN,NaN,3.0769,2.0241,297.63,3010,1,NaN,NaN,4.9154,3.0359,50.183,NaN,NaN,1.5556
1.55,0.25,1.4154,4.71,571.84,53.737,0.92308,1.9905,374.16,1785.9,0.61538,0.30769,0,0,1.8846,29.802,4.48,0.71667,1.7143
0,2,3.4436,NaN,NaN,NaN,2.6154,3.0567,313.53,2919.5,1,NaN,NaN,4.6231,3.1308,48.695,NaN,NaN,1.5
1.65,0.25,1.3897,4.7364,563.72,54.164,0.69231,1.437,376.48,1987.2,0.53846,0.38462,0,0,0.84872,33.14,4.1818,1.2583,1.3333
0,2,3.0487,NaN,NaN,NaN,3.2308,2.0223,374.61,3358.5,1,NaN,NaN,4.3308,3.0538,55.976,NaN,NaN,1.3846
1.45,0.1,1.4974,5.5028,826.34,54.306,0.30769,2.15,218.96,1765.7,0.46154,0.23077,0,0,0.39231,29.47,3.7028,3.3889,1.5
0,2,3.9744,NaN,NaN,NaN,3.0769,3.0541,204.72,2829.7,1,NaN,NaN,3.8718,4.0282,47.153,NaN,NaN,1.125
1.25,0.2,1.6923,4.5303,418.02,54.43,0.75,1.7009,431.65,2068.8,0.69231,0.30769,0,0,1.1639,34.512,4.2273,1.2,2
0,1.9,2.9128,NaN,NaN,NaN,1.3846,3.5713,442.47,2024,1,NaN,NaN,1.859,2.1949,33.756,NaN,NaN,1.5
1.55,0.1,1.541,4.2939,457.13,54.173,1,1.4786,319.16,2155.7,0.69231,0.15385,0,0,1.3806,35.956,3.7394,2.55,1.5714
0,2,3.9026,NaN,NaN,NaN,3.7692,2.7128,300.72,3575.8,1,NaN,NaN,5.8205,3.9846,59.583,NaN,NaN,1.5
1.55,0.1,1.1692,5.3333,728.91,53.142,1.5385,1.2777,192.05,2837.6,0.30769,0.38462,0,0,1.4051,47.317,4.4028,1.2292,1.8333
0,1.9,2.4846,0.033333,0,26.9,4.3846,3.0182,418.57,3942.1,0.92308,NaN,NaN,6.6667,4.5051,65.716,NaN,NaN,1.6667
1.65,0.35,1.4103,5.8296,836.07,51.633,1.0769,2.1192,394.95,2730,0.30769,0.69231,0,0,2.6128,45.544,4.7037,1.82,1.5714
0,1.9,3.441,0.033333,0,53.733,2.4615,3.1581,311.18,2379.6,0.92308,NaN,NaN,2.8692,4.2564,39.651,NaN,NaN,1.1
1.6,0.25,1.7513,5.2833,561.56,54.033,0.75,1.0861,346.06,1800.3,0.61538,0.15385,0,0,0.61944,30.029,4.9233,1.4,1.5
0,2,3.4564,NaN,NaN,NaN,4.3077,2.4635,430.92,3843.1,1,NaN,NaN,7.5897,2.5051,64.047,NaN,NaN,1.9
1.4,0.25,0.98718,5.1519,712.96,53.789,0.45455,3.1542,728.1,1823.3,0.53846,0.38462,0,0,1.3939,30.428,4.4259,2.8333,1
0,2,2.9436,NaN,NaN,NaN,2.4615,2.7995,181.08,1853,1,NaN,NaN,3,2.8051,30.894,NaN,NaN,2.1429
1.45,0.1,1.5256,5.4389,737.45,54.042,0.91667,0.55889,95.066,2030.6,0.53846,0.30769,0,0,0.38611,33.869,4.6417,1.6733,2
0,1.9,2.9974,0.033333,0,60,5,3.3231,496.56,2424.2,0.92308,NaN,NaN,4.4056,3.0722,40.401,NaN,NaN,1.4
1.55,0.15,1.7154,4.2485,337.23,55.533,0.16667,0.96667,173.49,1154.2,0.69231,0.15385,0,0,0.16111,19.251,4.0061,0.86667,1.5
0,2,3.4949,NaN,NaN,NaN,1.6154,4.5074,291.61,1882.3,1,NaN,NaN,2.6923,3.7026,31.381,NaN,NaN,1.4444
1.6,0.2,1.3538,5.5833,576.04,51.167,0.91667,7.0514,1050.2,2656.2,0.53846,0.46154,0,0,3.0306,44.298,5.29,0.68889,1.25
0,2,2.7538,NaN,NaN,NaN,2.3077,2.4952,374.5,2730.5,1,NaN,NaN,4.3718,1.2846,45.523,NaN,NaN,1.2222
1.4,0.15,1.3949,6.1417,892.58,53.656,0.46154,1.6639,354.73,2095.9,0.38462,0.38462,0,0,0.57692,34.893,5.0056,1.7286,1
